hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL12-AP3802I-10,4851f4ed-2c0b-446f-a109-96605d809a0e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVM,"69 days, 01:27:02.610",null
PTT-TH-HO-B1-FL12-AP3802I-2,e85463d4-7e6a-4a30-aa33-a6380b1ae42c,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7U,"69 days, 01:26:21.480",null
PTT-TH-HO-B1-FL12-AP3802I-3,536c8a29-e1d2-4197-a101-56250b939386,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACA2,"69 days, 01:20:50.280",null
PTT-TH-HO-B1-FL12-AP3802I-4,4f6aebdf-12dd-4986-8eb7-6aba2b0c518b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWA,"69 days, 01:20:30.360",null
PTT-TH-HO-B1-FL12-AP3802I-5,70566ebd-080f-4b53-9f89-343096ee7902,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWF,"69 days, 01:26:58.360",null
PTT-TH-HO-B1-FL12-AP3802I-6,8036ca55-8765-429b-9d4f-ba98016c71fd,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYR,"23 days, 03:16:47.460",null
PTT-TH-HO-B1-FL12-AP3802I-7,01a7bc4f-8a46-4a41-8ec1-af533990e028,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYL,"69 days, 01:21:10.530",null
PTT-TH-HO-B1-FL12-AP3802I-8,12c6f3ee-b3d4-4df1-af45-1b415be7ee6a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYJ,"69 days, 01:28:01.550",null
PTT-TH-HO-B1-FL12-AP3802I-9,ef951818-938f-4e86-a453-322f8dacd656,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCE,"61 days, 01:31:02.380",null
PTT-TH-HO-B1-FL13-AP3802I-1,1087220c-ca1e-47f5-91b2-fb31d3cf67d1,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC82,"69 days, 01:23:45.690",null
PTT-TH-HO-B1-FL13-AP3802I-10,cdaf3b1a-132c-4dd4-a9f4-a703acbd1c6a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEB,"69 days, 01:28:40.370",null
