hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL11-AP3802I-7,c19cc49c-9a84-4580-8590-7e21b0321144,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACD2,15days 20:13:41.970,null
PTT-TH-HO-B1-FL11-AP3802I-8,8fad6a1a-4c46-4e64-b04b-a4c6286b4c97,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEN,15days 20:17:31.070,null
PTT-TH-HO-B1-FL12-AP3802I-1,8e539a6d-111a-49be-96ac-0190ebef7c76,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC97,15days 20:09:50.870,null
PTT-TH-HO-B1-FL12-AP3802I-10,4851f4ed-2c0b-446f-a109-96605d809a0e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVM,9days 13:27:48.480,null
PTT-TH-HO-B1-FL12-AP3802I-2,e85463d4-7e6a-4a30-aa33-a6380b1ae42c,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7U,15days 13:30:57.060,null
PTT-TH-HO-B1-FL12-AP3802I-3,536c8a29-e1d2-4197-a101-56250b939386,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACA2,109days 20:13:49.360,null
PTT-TH-HO-B1-FL12-AP3802I-4,4f6aebdf-12dd-4986-8eb7-6aba2b0c518b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWA,15days 20:07:33.600,null
PTT-TH-HO-B1-FL12-AP3802I-5,70566ebd-080f-4b53-9f89-343096ee7902,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWF,15days 13:28:37.600,null
PTT-TH-HO-B1-FL12-AP3802I-6,8036ca55-8765-429b-9d4f-ba98016c71fd,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYR,63days 22:09:46.970,null
PTT-TH-HO-B1-FL12-AP3802I-7,01a7bc4f-8a46-4a41-8ec1-af533990e028,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYL,15days 20:08:10.270,null
PTT-TH-HO-B1-FL12-AP3802I-8,12c6f3ee-b3d4-4df1-af45-1b415be7ee6a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYJ,15days 22:38:04.290,null
PTT-TH-HO-B1-FL12-AP3802I-9,ef951818-938f-4e86-a453-322f8dacd656,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCE,16days 00:34:26.660,null
PTT-TH-HO-B1-FL13-AP3802I-1,1087220c-ca1e-47f5-91b2-fb31d3cf67d1,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC82,15days 20:13:35.970,null
PTT-TH-HO-B1-FL13-AP3802I-10,cdaf3b1a-132c-4dd4-a9f4-a703acbd1c6a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEB,11days 20:15:45.650,null
PTT-TH-HO-B1-FL13-AP3802I-2,c3d5b632-89ea-4c93-b55e-4754128b9159,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYF,19days 20:04:52.980,null
