hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL0B-C9300-FE-1.pttgrp.corp,84a25a94-0222-4680-a846-4f0e6ed16a53,,Switches and Hubs,"C9300-48U, C9300-48U",ACCESS,"FCW2250EHFV, FCW2250E0N2","48 days, 10:31:25.94",
PTT-TH-HO-B1-FL10-C9407-FE-1.pttgrp.corp,42276581-2b1f-4527-9a2f-46bfe3a5c99c,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1UC,"243 days, 17:05:15.29",
PTT-TH-HO-B1-FL11-C9407-FE-1.pttgrp.corp,f546f14e-293d-4cc1-95da-502ffe24dfb7,,Switches and Hubs,C9407R,ACCESS,FXS2248Q0YP,"198 days, 4:43:06.21",
PTT-TH-HO-B1-FL12-C9410-FE-1.pttgrp.corp,8851c576-2467-4eba-b64e-3744ded441e5,,Switches and Hubs,C9410R,ACCESS,FXS2247Q1HV,"243 days, 17:44:03.98",
PTT-TH-HO-B1-FL13-C9407-FE-1.pttgrp.corp,64b6d310-07f8-4b5a-9a70-24c13aa00fb7,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1VD,"242 days, 17:27:26.63",
PTT-TH-HO-B1-FL14-C9407-FE-1.pttgrp.corp,91514653-43ec-4014-9120-eb5740693a30,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1XB,"242 days, 17:54:49.33",
PTT-TH-HO-B1-FL15-C9407-FE-1.pttgrp.corp,332777e8-ab11-4474-a75d-e5096906385b,,Switches and Hubs,C9407R,ACCESS,FXS2248Q122,"241 days, 18:35:13.42",
PTT-TH-HO-B1-FL16-C9407-FE-1.pttgrp.corp,4145d8ec-2bcb-4c96-b098-a4c29a334cd5,,Switches and Hubs,C9407R,ACCESS,FXS2248Q12T,"198 days, 1:40:48.48",
PTT-TH-HO-B1-FL17-C9407-FE-1.pttgrp.corp,ade348ad-c6b8-4a90-a81d-2c74025c363a,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1V5,"241 days, 17:42:21.61",
PTT-TH-HO-B1-FL18-C9407-FE-1.pttgrp.corp,5b41c21e-195c-4f13-b18c-ab09d215f314,,Switches and Hubs,C9407R,ACCESS,FXS2248Q12U,"236 days, 17:53:08.84",
PTT-TH-HO-B1-FL19-C9407-FE-1.pttgrp.corp,648dccdf-06a4-44b3-bf59-44b8e05518c5,,Switches and Hubs,C9407R,ACCESS,FXS2249Q0L7,"236 days, 17:44:39.72",
PTT-TH-HO-B1-FL1-C9300-FE-1.pttgrp.corp,fe02984f-1de6-4f06-9230-6200eef688a3,,Switches and Hubs,C9300-48UXM,ACCESS,FOC2301U09L,"138 days, 19:17:59.79",
PTT-TH-HO-B1-FL20-C9407-FE-1.pttgrp.corp,fa3d8f4e-cfe5-4a42-b750-d8c4674dec85,,Switches and Hubs,C9407R,ACCESS,FXS2246Q4AY,"234 days, 17:13:53.39",
PTT-TH-HO-B1-FL21-C9407-FE-1.pttgrp.corp,ed61bc18-07b1-495c-8140-8538dc7bdb65,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1Y7,"234 days, 17:35:51.27",
